GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
statement-svc,demo.assignment.tree.statementsvc.model.mappers,StatementMapper,0,38,0,0,0,9,0,2,0,2
statement-svc,demo.assignment.tree.statementsvc.model.enums,SearchType,0,44,0,0,0,2,0,1,0,1
statement-svc,demo.assignment.tree.statementsvc.view,StatementViewDTO,248,27,54,0,6,1,37,7,10,7
statement-svc,demo.assignment.tree.statementsvc.config,SecurityConfiguration,0,123,0,0,0,26,0,4,0,4
statement-svc,demo.assignment.tree.statementsvc.config,SpringJdbcConfig,0,32,0,0,0,9,0,2,0,2
statement-svc,demo.assignment.tree.statementsvc.config,DBUsersProperties,164,31,38,0,0,5,23,9,4,9
statement-svc,demo.assignment.tree.statementsvc.config,EmbededRedis,4,16,0,0,2,6,1,2,1,2
statement-svc,demo.assignment.tree.statementsvc.controller,UserSessionController,20,9,0,0,5,4,1,1,1,1
statement-svc,demo.assignment.tree.statementsvc.controller,StatementController,34,10,0,0,12,4,2,2,2,2
statement-svc,demo.assignment.tree.statementsvc.service,StatementService,62,221,9,46,15,43,11,29,2,9
statement-svc,demo.assignment.tree.statementsvc.service,UserManagementService,177,13,8,0,47,5,9,2,5,2
statement-svc,demo.assignment.tree.statementsvc.model,User.UserBuilder,27,0,0,0,1,0,5,0,5,0
statement-svc,demo.assignment.tree.statementsvc.model,Statement,254,39,54,0,1,7,37,7,10,7
statement-svc,demo.assignment.tree.statementsvc.model,StatementsSearchCriteria,220,34,46,0,2,5,33,6,10,6
statement-svc,demo.assignment.tree.statementsvc.model,JwtTokenUtilConfiguration,196,27,40,0,4,3,29,7,9,7
statement-svc,demo.assignment.tree.statementsvc.model,UserNamePasswordAuthenticationRequest,115,0,22,0,3,0,20,0,9,0
statement-svc,demo.assignment.tree.statementsvc.model,StatementsSearchCriteria.StatementsSearchCriteriaBuilder,17,37,0,0,0,1,2,6,2,6
statement-svc,demo.assignment.tree.statementsvc.model,User,125,0,22,0,4,0,21,0,10,0
statement-svc,demo.assignment.tree.statementsvc.filter,JwtTokenVerifierFilter,37,13,6,0,9,5,4,2,1,2
statement-svc,demo.assignment.tree.statementsvc.filter,JwtAuthenticationFilter,73,15,0,0,19,6,2,1,2,1
statement-svc,demo.assignment.tree.statementsvc,StatementSvcApplication,5,3,0,0,2,1,1,1,1,1
statement-svc,demo.assignment.tree.statementsvc.repo,JDBCStatementRepository,0,28,0,0,0,6,0,3,0,3
